column,missing_count,missing_pct
customerID,0,0.0
MultipleLines_was_missing,0,0.0
tenure_was_missing,0,0.0
MonthlyCharges_was_missing,0,0.0
charge_gap_was_missing,0,0.0
charge_gap_log1p_was_missing,0,0.0
customerID_was_missing,0,0.0
gender_was_missing,0,0.0
Partner_was_missing,0,0.0
Dependents_was_missing,0,0.0
PhoneService_was_missing,0,0.0
InternetService_was_missing,0,0.0
gender,0,0.0
OnlineSecurity_was_missing,0,0.0
OnlineBackup_was_missing,0,0.0
DeviceProtection_was_missing,0,0.0
TechSupport_was_missing,0,0.0
StreamingTV_was_missing,0,0.0
StreamingMovies_was_missing,0,0.0
Contract_was_missing,0,0.0
PaperlessBilling_was_missing,0,0.0
PaymentMethod_was_missing,0,0.0
SeniorCitizen_was_missing,0,0.0
charge_gap_log1p,0,0.0
charge_gap,0,0.0
TotalCharges_was_missing,0,0.0
SeniorCitizen,0,0.0
Partner,0,0.0
Dependents,0,0.0
tenure,0,0.0
PhoneService,0,0.0
MultipleLines,0,0.0
InternetService,0,0.0
OnlineSecurity,0,0.0
OnlineBackup,0,0.0
DeviceProtection,0,0.0
TechSupport,0,0.0
StreamingTV,0,0.0
StreamingMovies,0,0.0
Contract,0,0.0
PaperlessBilling,0,0.0
PaymentMethod,0,0.0
MonthlyCharges,0,0.0
TotalCharges,0,0.0
Churn,0,0.0
Churn_was_missing,0,0.0
