text_col,keywords_cols
gender,"gender_has_error, gender_has_cancel, gender_has_premium"
Partner,"Partner_has_error, Partner_has_cancel, Partner_has_premium"
Dependents,"Dependents_has_error, Dependents_has_cancel, Dependents_has_premium"
PhoneService,"PhoneService_has_error, PhoneService_has_cancel, PhoneService_has_premium"
MultipleLines,"MultipleLines_has_error, MultipleLines_has_cancel, MultipleLines_has_premium"
InternetService,"InternetService_has_error, InternetService_has_cancel, InternetService_has_premium"
OnlineSecurity,"OnlineSecurity_has_error, OnlineSecurity_has_cancel, OnlineSecurity_has_premium"
OnlineBackup,"OnlineBackup_has_error, OnlineBackup_has_cancel, OnlineBackup_has_premium"
DeviceProtection,"DeviceProtection_has_error, DeviceProtection_has_cancel, DeviceProtection_has_premium"
TechSupport,"TechSupport_has_error, TechSupport_has_cancel, TechSupport_has_premium"
StreamingTV,"StreamingTV_has_error, StreamingTV_has_cancel, StreamingTV_has_premium"
StreamingMovies,"StreamingMovies_has_error, StreamingMovies_has_cancel, StreamingMovies_has_premium"
Contract,"Contract_has_error, Contract_has_cancel, Contract_has_premium"
PaperlessBilling,"PaperlessBilling_has_error, PaperlessBilling_has_cancel, PaperlessBilling_has_premium"
PaymentMethod,"PaymentMethod_has_error, PaymentMethod_has_cancel, PaymentMethod_has_premium"
Churn,"Churn_has_error, Churn_has_cancel, Churn_has_premium"
